counterparty,description,action,time,base_currency,reporting_dispute_amount,dispute_age,dispute_amount,agreement_id,event_id,rescued_data,reporting_date
SWISS LIFE AG,Late notice,Under Investigation,2026-06-17 09:30:00,USD,144000.0,3,144000.0,3919,352073,,2026-06-17
BANCO HABITAT,Recon break,Pending Review,2026-06-10 09:30:00,USD,640000.0,3,640000.0,5815,385658,,2026-06-10
CITIBANK NA,Late notice,Resolved,2026-06-17 09:30:00,USD,650000.0,8,650000.0,5258,368499,,2026-06-17
BANK OF NOVA SCOTIA,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,120000.0,15,120000.0,1190,352779,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,710000.0,3,710000.0,9243,360465,,2026-06-03
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,432000.0,8,432000.0,2792,398750,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,548000.0,8,548000.0,2781,390939,,2026-06-10
SWISS LIFE AG,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,473000.0,3,473000.0,7494,357083,,2026-06-17
BANK OF NOVA SCOTIA,MTM discrepancy,Resolved,2026-07-01 09:30:00,USD,723000.0,1,723000.0,1653,369825,,2026-07-01
BIMCOR INC,Recon break,Under Investigation,2026-06-17 09:30:00,USD,511000.0,15,511000.0,3976,384886,,2026-06-17
BANCO HABITAT,Recon break,Pending Review,2026-06-17 09:30:00,USD,751000.0,5,751000.0,8779,385512,,2026-06-17
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-06-24 09:30:00,USD,668000.0,5,668000.0,1927,390933,,2026-06-24
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-06-17 09:30:00,USD,224000.0,3,224000.0,2342,385680,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,328000.0,3,328000.0,9330,379307,,2026-06-10
BIMCOR INC,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,444000.0,5,444000.0,8596,375753,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,336000.0,1,336000.0,6884,396169,,2026-07-01
SWISS LIFE AG,Recon break,Resolved,2026-07-01 09:30:00,USD,208000.0,5,208000.0,6173,367658,,2026-07-01
INVESTEC BANK LIMITED,Recon break,Pending Review,2026-06-10 09:30:00,USD,552000.0,5,552000.0,4278,390689,,2026-06-10
CENTRAL 1 CREDIT UNION,MTM discrepancy,Pending Review,2026-06-10 09:30:00,USD,669000.0,3,669000.0,9851,343962,,2026-06-10
BIMCOR INC,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,137000.0,1,137000.0,3448,378589,,2026-06-10
DEUTSCHE BANK A.G.,Recon break,Under Investigation,2026-06-10 09:30:00,USD,256000.0,5,256000.0,4364,348901,,2026-06-10
DEUTSCHE BANK A.G.,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,816000.0,3,816000.0,3311,395297,,2026-06-10
BANCO HABITAT,Late notice,Pending Review,2026-06-03 09:30:00,USD,866000.0,3,866000.0,9550,359752,,2026-06-03
CENTRAL 1 CREDIT UNION,Late notice,Under Investigation,2026-07-01 09:30:00,USD,676000.0,3,676000.0,6242,355038,,2026-07-01
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,309000.0,5,309000.0,9265,342963,,2026-07-01
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-07-01 09:30:00,USD,277000.0,1,277000.0,5396,373665,,2026-07-01
MORGAN STANLEY INTL,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,305000.0,15,305000.0,5294,365814,,2026-07-01
DEUTSCHE BANK A.G.,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,373000.0,15,373000.0,2684,342016,,2026-07-01
SWISS LIFE AG,Late notice,Resolved,2026-06-17 09:30:00,USD,681000.0,5,681000.0,4853,351367,,2026-06-17
CENTRAL 1 CREDIT UNION,Late notice,Resolved,2026-06-03 09:30:00,USD,576000.0,15,576000.0,2627,381187,,2026-06-03
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-06-10 09:30:00,USD,224000.0,5,224000.0,6901,385616,,2026-06-10
MORGAN STANLEY INTL,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,513000.0,3,513000.0,2409,393508,,2026-06-17
CITIBANK NA,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,788000.0,5,788000.0,7838,396110,,2026-06-10
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,665000.0,1,665000.0,8877,374277,,2026-06-03
BANK OF NOVA SCOTIA,Late notice,Resolved,2026-06-17 09:30:00,USD,377000.0,1,377000.0,1902,352383,,2026-06-17
BANK OF NOVA SCOTIA,Late notice,Under Investigation,2026-07-01 09:30:00,USD,95000.0,1,95000.0,1525,380952,,2026-07-01
BANCO HABITAT,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,481000.0,8,481000.0,1843,382775,,2026-06-17
SWISS LIFE AG,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,843000.0,8,843000.0,7057,343995,,2026-06-17
CENTRAL 1 CREDIT UNION,MTM discrepancy,Pending Review,2026-06-24 09:30:00,USD,297000.0,15,297000.0,4523,359801,,2026-06-24
MORGAN STANLEY INTL,MTM discrepancy,Resolved,2026-07-01 09:30:00,USD,68000.0,3,68000.0,4217,597086,,2026-07-01
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,816000.0,1,816000.0,7460,354358,,2026-06-24
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-06-03 09:30:00,USD,816000.0,15,816000.0,1674,359441,,2026-06-03
INVESTEC BANK LIMITED,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,108000.0,8,108000.0,3747,390563,,2026-07-01
CITIBANK NA,MTM discrepancy,Resolved,2026-06-03 09:30:00,USD,168000.0,15,168000.0,2431,363468,,2026-06-03
CENTRAL 1 CREDIT UNION,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,78000.0,3,78000.0,3834,504585,,2026-06-03
SWISS LIFE AG,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,312000.0,15,312000.0,3673,387794,,2026-06-17
BANK OF NOVA SCOTIA,MTM discrepancy,Pending Review,2026-06-10 09:30:00,USD,575000.0,8,575000.0,8430,379202,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Under Investigation,2026-06-03 09:30:00,USD,417000.0,1,417000.0,5535,369172,,2026-06-03
BANK OF NOVA SCOTIA,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,325000.0,1,325000.0,9645,533425,,2026-06-10
CENTRAL 1 CREDIT UNION,Recon break,Resolved,2026-06-17 09:30:00,USD,586000.0,8,586000.0,6388,375045,,2026-06-17
CITIBANK NA,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,757000.0,1,757000.0,8763,342636,,2026-07-01
BIMCOR INC,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,886000.0,3,886000.0,5909,367414,,2026-07-01
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,370000.0,8,370000.0,1087,346677,,2026-06-17
BANCO HABITAT,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,851000.0,1,851000.0,6679,355264,,2026-06-03
WELLINGTON GLOBAL EQUITY FUND 28R5,MTM discrepancy,Resolved,2026-06-03 09:30:00,USD,348000.0,8,348000.0,1684,564990,,2026-06-03
MORGAN STANLEY INTL,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,811000.0,5,811000.0,1691,394736,,2026-06-10
SWISS LIFE AG,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,858000.0,15,858000.0,6128,369757,,2026-07-01
BANK OF NOVA SCOTIA,Late notice,Under Investigation,2026-07-01 09:30:00,USD,577000.0,5,577000.0,5482,388677,,2026-07-01
WELLINGTON GLOBAL EQUITY FUND 28R5,Late notice,Under Investigation,2026-06-03 09:30:00,USD,847000.0,5,847000.0,5715,374490,,2026-06-03
BIMCOR INC,Late notice,Pending Review,2026-07-01 09:30:00,USD,895000.0,5,895000.0,4849,369921,,2026-07-01
CITIBANK NA,MTM discrepancy,Resolved,2026-06-03 09:30:00,USD,599000.0,1,599000.0,8801,362197,,2026-06-03
BIMCOR INC,MTM discrepancy,Under Investigation,2026-06-10 09:30:00,USD,209000.0,8,209000.0,3957,399085,,2026-06-10
DEUTSCHE BANK A.G.,Late notice,Pending Review,2026-06-10 09:30:00,USD,334000.0,3,334000.0,1012,345602,,2026-06-10
DEUTSCHE BANK A.G.,Late notice,Under Investigation,2026-07-01 09:30:00,USD,515000.0,3,515000.0,2961,358996,,2026-07-01
CENTRAL 1 CREDIT UNION,Valuation dispute,Under Investigation,2026-06-10 09:30:00,USD,444000.0,3,444000.0,2025,353362,,2026-06-10
MORGAN STANLEY INTL,Recon break,Resolved,2026-06-03 09:30:00,USD,201000.0,5,201000.0,5060,340735,,2026-06-03
SWISS LIFE AG,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,564000.0,3,564000.0,7658,345921,,2026-06-03
BANK OF NOVA SCOTIA,Late notice,Resolved,2026-06-17 09:30:00,USD,590000.0,1,590000.0,2360,395513,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,834000.0,1,834000.0,5408,342575,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Pending Review,2026-06-10 09:30:00,USD,527000.0,5,527000.0,4076,398602,,2026-06-10
CITIBANK NA,Late notice,Under Investigation,2026-06-10 09:30:00,USD,17000.0,5,17000.0,8188,350374,,2026-06-10
BANK OF NOVA SCOTIA,Recon break,Pending Review,2026-06-10 09:30:00,USD,867000.0,8,867000.0,1193,358413,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Pending Review,2026-06-03 09:30:00,USD,816000.0,1,816000.0,4833,389127,,2026-06-03
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,501000.0,1,501000.0,3214,393623,,2026-06-03
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,18000.0,3,18000.0,8832,364716,,2026-07-01
MORGAN STANLEY INTL,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,449000.0,5,449000.0,7665,366702,,2026-07-01
SWISS LIFE AG,Recon break,Pending Review,2026-06-17 09:30:00,USD,768000.0,1,768000.0,1696,366707,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Resolved,2026-06-10 09:30:00,USD,728000.0,3,728000.0,5066,386072,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Late notice,Under Investigation,2026-06-10 09:30:00,USD,561000.0,3,561000.0,3642,393003,,2026-06-10
CENTRAL 1 CREDIT UNION,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,522000.0,5,522000.0,8639,506808,,2026-06-17
MORGAN STANLEY INTL,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,336000.0,1,336000.0,6359,547921,,2026-06-03
CITIBANK NA,Recon break,Pending Review,2026-06-24 09:30:00,USD,705000.0,5,705000.0,6744,386834,,2026-06-24
SWISS LIFE AG,Valuation dispute,Resolved,2026-06-10 09:30:00,USD,566000.0,3,566000.0,3481,376469,,2026-06-10
CITIBANK NA,Late notice,Resolved,2026-06-24 09:30:00,USD,309000.0,1,309000.0,7010,361963,,2026-06-24
CENTRAL 1 CREDIT UNION,Late notice,Under Investigation,2026-06-10 09:30:00,USD,663000.0,1,663000.0,4867,393446,,2026-06-10
DEUTSCHE BANK A.G.,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,393000.0,8,393000.0,8510,347330,,2026-07-01
BANCO HABITAT,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,168000.0,8,168000.0,6825,352073,,2026-07-01
CITIBANK NA,Recon break,Pending Review,2026-06-10 09:30:00,USD,359000.0,5,359000.0,7705,552579,,2026-06-10
CENTRAL 1 CREDIT UNION,Recon break,Under Investigation,2026-06-10 09:30:00,USD,188000.0,1,188000.0,9971,367239,,2026-06-10
BANCO HABITAT,Late notice,Pending Review,2026-07-01 09:30:00,USD,577000.0,5,577000.0,6976,359250,,2026-07-01
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,356000.0,5,356000.0,8875,358679,,2026-07-01
SWISS LIFE AG,MTM discrepancy,Pending Review,2026-06-03 09:30:00,USD,410000.0,15,410000.0,8932,364783,,2026-06-03
SWISS LIFE AG,Recon break,Under Investigation,2026-06-10 09:30:00,USD,323000.0,5,323000.0,8499,373103,,2026-06-10
BIMCOR INC,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,244000.0,1,244000.0,8387,366183,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Pending Review,2026-06-03 09:30:00,USD,769000.0,3,769000.0,9508,372530,,2026-06-03
CITIBANK NA,Late notice,Resolved,2026-07-01 09:30:00,USD,297000.0,1,297000.0,9745,340127,,2026-07-01
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,850000.0,3,850000.0,3013,362166,,2026-06-17
CENTRAL 1 CREDIT UNION,MTM discrepancy,Pending Review,2026-06-24 09:30:00,USD,339000.0,5,339000.0,7148,385956,,2026-06-24
BANCO HABITAT,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,562000.0,1,562000.0,9243,350966,,2026-06-24
MORGAN STANLEY INTL,Valuation dispute,Pending Review,2026-06-17 09:30:00,USD,578000.0,8,578000.0,9641,388554,,2026-06-17
BANK OF NOVA SCOTIA,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,512000.0,5,512000.0,8221,340347,,2026-07-01
DEUTSCHE BANK A.G.,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,879000.0,5,879000.0,2768,392885,,2026-06-03
BIMCOR INC,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,489000.0,3,489000.0,9992,345987,,2026-06-03
BANCO HABITAT,Recon break,Pending Review,2026-06-03 09:30:00,USD,337000.0,15,337000.0,6608,391575,,2026-06-03
BIMCOR INC,Late notice,Resolved,2026-06-03 09:30:00,USD,643000.0,15,643000.0,8524,384322,,2026-06-03
INVESTEC BANK LIMITED,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,454000.0,8,454000.0,7044,396250,,2026-06-24
MORGAN STANLEY INTL,Late notice,Pending Review,2026-07-01 09:30:00,USD,788000.0,3,788000.0,7054,393831,,2026-07-01
BANK OF NOVA SCOTIA,Valuation dispute,Under Investigation,2026-06-24 09:30:00,USD,859000.0,8,859000.0,4077,372296,,2026-06-24
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,318000.0,1,318000.0,2750,396761,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,234000.0,15,234000.0,1346,377217,,2026-06-17
CENTRAL 1 CREDIT UNION,Late notice,Resolved,2026-06-03 09:30:00,USD,364000.0,1,364000.0,6950,390799,,2026-06-03
DEUTSCHE BANK A.G.,Recon break,Pending Review,2026-06-10 09:30:00,USD,127000.0,8,127000.0,8526,351399,,2026-06-10
BANCO HABITAT,Late notice,Resolved,2026-06-24 09:30:00,USD,31000.0,5,31000.0,6868,366114,,2026-06-24
MORGAN STANLEY INTL,Recon break,Resolved,2026-06-17 09:30:00,USD,177000.0,5,177000.0,3196,378869,,2026-06-17
MORGAN STANLEY INTL,MTM discrepancy,Pending Review,2026-07-01 09:30:00,USD,735000.0,15,735000.0,4625,381426,,2026-07-01
INVESTEC BANK LIMITED,Late notice,Under Investigation,2026-06-24 09:30:00,USD,240000.0,1,240000.0,4066,362607,,2026-06-24
MORGAN STANLEY INTL,MTM discrepancy,Under Investigation,2026-07-01 09:30:00,USD,264000.0,5,264000.0,9187,354469,,2026-07-01
CENTRAL 1 CREDIT UNION,Late notice,Pending Review,2026-06-10 09:30:00,USD,16000.0,15,16000.0,7767,395673,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Pending Review,2026-06-24 09:30:00,USD,854000.0,1,854000.0,7071,362584,,2026-06-24
MORGAN STANLEY INTL,Late notice,Resolved,2026-06-17 09:30:00,USD,792000.0,5,792000.0,5392,391417,,2026-06-17
BIMCOR INC,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,625000.0,8,625000.0,5437,393856,,2026-07-01
CITIBANK NA,MTM discrepancy,Resolved,2026-06-10 09:30:00,USD,805000.0,8,805000.0,2000,388719,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Resolved,2026-06-17 09:30:00,USD,311000.0,5,311000.0,1126,388920,,2026-06-17
CITIBANK NA,Recon break,Pending Review,2026-07-01 09:30:00,USD,19000.0,8,19000.0,5807,380929,,2026-07-01
BANK OF NOVA SCOTIA,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,896000.0,15,896000.0,3694,347521,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Resolved,2026-07-01 09:30:00,USD,446000.0,5,446000.0,9330,588175,,2026-07-01
DEUTSCHE BANK A.G.,Late notice,Under Investigation,2026-07-01 09:30:00,USD,618000.0,15,618000.0,2921,392417,,2026-07-01
BANCO HABITAT,Recon break,Under Investigation,2026-06-24 09:30:00,USD,295000.0,1,295000.0,7957,398652,,2026-06-24
SWISS LIFE AG,Late notice,Resolved,2026-06-03 09:30:00,USD,120000.0,1,120000.0,6769,399410,,2026-06-03
INVESTEC BANK LIMITED,Recon break,Resolved,2026-07-01 09:30:00,USD,670000.0,3,670000.0,4040,340541,,2026-07-01
CITIBANK NA,Late notice,Pending Review,2026-06-24 09:30:00,USD,30000.0,3,30000.0,8311,353212,,2026-06-24
CITIBANK NA,Recon break,Resolved,2026-06-10 09:30:00,USD,539000.0,8,539000.0,6569,570655,,2026-06-10
BANK OF NOVA SCOTIA,Late notice,Pending Review,2026-06-10 09:30:00,USD,240000.0,3,240000.0,3754,386061,,2026-06-10
BANK OF NOVA SCOTIA,Recon break,Resolved,2026-06-03 09:30:00,USD,272000.0,1,272000.0,1272,346837,,2026-06-03
WELLINGTON GLOBAL EQUITY FUND 28R5,Late notice,Resolved,2026-06-17 09:30:00,USD,459000.0,3,459000.0,3608,394025,,2026-06-17
BIMCOR INC,Late notice,Pending Review,2026-07-01 09:30:00,USD,569000.0,1,569000.0,2836,397129,,2026-07-01
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Pending Review,2026-06-03 09:30:00,USD,290000.0,5,290000.0,5552,341443,,2026-06-03
BIMCOR INC,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,475000.0,3,475000.0,5120,356370,,2026-06-17
BIMCOR INC,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,715000.0,5,715000.0,8103,382049,,2026-06-17
BANK OF NOVA SCOTIA,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,699000.0,3,699000.0,5918,354649,,2026-07-01
MORGAN STANLEY INTL,Late notice,Under Investigation,2026-06-10 09:30:00,USD,210000.0,3,210000.0,5648,342133,,2026-06-10
INVESTEC BANK LIMITED,MTM discrepancy,Pending Review,2026-07-01 09:30:00,USD,495000.0,8,495000.0,2278,379095,,2026-07-01
CITIBANK NA,Recon break,Resolved,2026-07-01 09:30:00,USD,322000.0,3,322000.0,8584,392620,,2026-07-01
BANCO HABITAT,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,474000.0,5,474000.0,7802,392089,,2026-06-24
DEUTSCHE BANK A.G.,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,512000.0,3,512000.0,8358,391854,,2026-06-17
WELLINGTON GLOBAL EQUITY FUND 28R5,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,851000.0,15,851000.0,6392,381670,,2026-06-24
CITIBANK NA,Late notice,Resolved,2026-06-03 09:30:00,USD,449000.0,3,449000.0,2839,357119,,2026-06-03
BANK OF NOVA SCOTIA,Late notice,Under Investigation,2026-06-17 09:30:00,USD,75000.0,15,75000.0,1830,356448,,2026-06-17
SWISS LIFE AG,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,113000.0,8,113000.0,3329,340837,,2026-06-03
DEUTSCHE BANK A.G.,Valuation dispute,Pending Review,2026-07-01 09:30:00,USD,455000.0,3,455000.0,1587,393248,,2026-07-01
SWISS LIFE AG,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,864000.0,8,864000.0,3066,390764,,2026-06-24
CENTRAL 1 CREDIT UNION,Recon break,Pending Review,2026-07-01 09:30:00,USD,21000.0,15,21000.0,8866,530754,,2026-07-01
MORGAN STANLEY INTL,Recon break,Pending Review,2026-06-17 09:30:00,USD,821000.0,1,821000.0,2751,399257,,2026-06-17
CITIBANK NA,Recon break,Pending Review,2026-07-01 09:30:00,USD,223000.0,1,223000.0,6553,378704,,2026-07-01
SWISS LIFE AG,Late notice,Resolved,2026-07-01 09:30:00,USD,435000.0,15,435000.0,6731,374565,,2026-07-01
CENTRAL 1 CREDIT UNION,Recon break,Pending Review,2026-06-24 09:30:00,USD,386000.0,8,386000.0,1070,391553,,2026-06-24
SWISS LIFE AG,Recon break,Pending Review,2026-06-17 09:30:00,USD,835000.0,3,835000.0,3870,386970,,2026-06-17
CITIBANK NA,Recon break,Pending Review,2026-06-17 09:30:00,USD,292000.0,3,292000.0,3921,368524,,2026-06-17
BIMCOR INC,Late notice,Pending Review,2026-06-03 09:30:00,USD,127000.0,1,127000.0,1262,357300,,2026-06-03
DEUTSCHE BANK A.G.,Recon break,Pending Review,2026-07-01 09:30:00,USD,5000.0,3,5000.0,3891,353936,,2026-07-01
BIMCOR INC,Recon break,Under Investigation,2026-06-24 09:30:00,USD,366000.0,8,366000.0,8810,368215,,2026-06-24
CITIBANK NA,Recon break,Under Investigation,2026-06-10 09:30:00,USD,541000.0,1,541000.0,3153,345486,,2026-06-10
INVESTEC BANK LIMITED,Valuation dispute,Resolved,2026-06-17 09:30:00,USD,334000.0,15,334000.0,5534,355531,,2026-06-17
BANK OF NOVA SCOTIA,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,378000.0,3,378000.0,3658,352087,,2026-06-17
DEUTSCHE BANK A.G.,Valuation dispute,Under Investigation,2026-07-01 09:30:00,USD,693000.0,1,693000.0,3881,389648,,2026-07-01
BANK OF NOVA SCOTIA,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,883000.0,15,883000.0,3010,385849,,2026-06-24
CENTRAL 1 CREDIT UNION,Recon break,Pending Review,2026-06-10 09:30:00,USD,660000.0,8,660000.0,4949,340704,,2026-06-10
CITIBANK NA,Valuation dispute,Under Investigation,2026-06-24 09:30:00,USD,138000.0,5,138000.0,9583,354778,,2026-06-24
CITIBANK NA,Late notice,Under Investigation,2026-06-10 09:30:00,USD,69000.0,3,69000.0,2649,501158,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Late notice,Pending Review,2026-06-24 09:30:00,USD,443000.0,1,443000.0,4863,366587,,2026-06-24
CENTRAL 1 CREDIT UNION,Valuation dispute,Under Investigation,2026-06-03 09:30:00,USD,53000.0,5,53000.0,3626,348091,,2026-06-03
INVESTEC BANK LIMITED,Valuation dispute,Pending Review,2026-06-24 09:30:00,USD,637000.0,5,637000.0,8039,358252,,2026-06-24
CITIBANK NA,Recon break,Resolved,2026-06-10 09:30:00,USD,719000.0,15,719000.0,4358,348272,,2026-06-10
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Under Investigation,2026-06-03 09:30:00,USD,437000.0,15,437000.0,5425,371386,,2026-06-03
INVESTEC BANK LIMITED,Recon break,Resolved,2026-06-10 09:30:00,USD,71000.0,8,71000.0,8014,343208,,2026-06-10
BANK OF NOVA SCOTIA,Valuation dispute,Resolved,2026-07-01 09:30:00,USD,395000.0,8,395000.0,3209,343916,,2026-07-01
MORGAN STANLEY INTL,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,874000.0,1,874000.0,1491,383211,,2026-06-24
DEUTSCHE BANK A.G.,Late notice,Under Investigation,2026-06-24 09:30:00,USD,135000.0,3,135000.0,4145,352050,,2026-06-24
BANCO HABITAT,Late notice,Resolved,2026-07-01 09:30:00,USD,542000.0,8,542000.0,5061,349172,,2026-07-01
SWISS LIFE AG,MTM discrepancy,Resolved,2026-06-24 09:30:00,USD,63000.0,5,63000.0,9514,375809,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Recon break,Under Investigation,2026-06-24 09:30:00,USD,239000.0,1,239000.0,4947,347072,,2026-06-24
CENTRAL 1 CREDIT UNION,Late notice,Resolved,2026-07-01 09:30:00,USD,342000.0,15,342000.0,2349,354701,,2026-07-01
CENTRAL 1 CREDIT UNION,MTM discrepancy,Under Investigation,2026-06-03 09:30:00,USD,707000.0,5,707000.0,7902,396333,,2026-06-03
INVESTEC BANK LIMITED,Late notice,Under Investigation,2026-06-03 09:30:00,USD,745000.0,1,745000.0,3746,370318,,2026-06-03
BIMCOR INC,Recon break,Under Investigation,2026-06-24 09:30:00,USD,623000.0,1,623000.0,2596,353204,,2026-06-24
BANCO HABITAT,MTM discrepancy,Pending Review,2026-06-17 09:30:00,USD,153000.0,3,153000.0,4129,370514,,2026-06-17
BANK OF NOVA SCOTIA,Late notice,Pending Review,2026-06-03 09:30:00,USD,436000.0,15,436000.0,2582,375214,,2026-06-03
DEUTSCHE BANK A.G.,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,600000.0,3,600000.0,4159,345445,,2026-06-17
BIMCOR INC,Recon break,Pending Review,2026-07-01 09:30:00,USD,448000.0,1,448000.0,3357,377047,,2026-07-01
MORGAN STANLEY INTL,Late notice,Pending Review,2026-06-24 09:30:00,USD,118000.0,3,118000.0,5075,387274,,2026-06-24
CENTRAL 1 CREDIT UNION,MTM discrepancy,Under Investigation,2026-06-24 09:30:00,USD,800000.0,8,800000.0,1016,379095,,2026-06-24
SWISS LIFE AG,MTM discrepancy,Resolved,2026-07-01 09:30:00,USD,533000.0,1,533000.0,9409,364173,,2026-07-01
BANCO HABITAT,MTM discrepancy,Pending Review,2026-06-10 09:30:00,USD,309000.0,3,309000.0,9727,399490,,2026-06-10
BANCO HABITAT,Late notice,Under Investigation,2026-06-24 09:30:00,USD,763000.0,3,763000.0,8469,549453,,2026-06-24
BANCO HABITAT,MTM discrepancy,Under Investigation,2026-06-17 09:30:00,USD,867000.0,8,867000.0,3316,389201,,2026-06-17
BANCO HABITAT,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,634000.0,15,634000.0,2951,393202,,2026-06-17
BANK OF NOVA SCOTIA,Recon break,Pending Review,2026-07-01 09:30:00,USD,79000.0,5,79000.0,2883,389893,,2026-07-01
CENTRAL 1 CREDIT UNION,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,535000.0,1,535000.0,8691,360968,,2026-06-10
INVESTEC BANK LIMITED,Late notice,Resolved,2026-07-01 09:30:00,USD,60000.0,15,60000.0,9602,364127,,2026-07-01
CENTRAL 1 CREDIT UNION,Valuation dispute,Resolved,2026-06-24 09:30:00,USD,62000.0,3,62000.0,5872,379369,,2026-06-24
