issuer,description,maturity_date,classification,rating,clean_price,coupon_accrual,factor,dirty_price,valuation_date,lock_up_margin,par_amount,booking_currency,booking_market_value,booking_collateral_value,haircut,internal_policy_reuse,reporting_currency,reported_market_value,reported_collateral_value,issue_date,agreement_ext_id,additional_info_1,additional_info_2,additional_info_3,additional_info_4,notation,region,group,counterparty_contact,telephone_number,fax_number,email_address,custodian,fx_rate,margin_type,asset_notes1,asset_notes2,asset_notes3,base_ccy,base_market_value,base_adjusted_collateral_value,cpty_country_of_risk,instrument_id_type,prc_payment_instruction_bucket,cpty_payment_instruction_bucket,segregation,segregation_type,gross_calc,issuer_country_of_risk,prc_account_number,prc_beneficiary_bank,prc_ultimate_custodian_code,prc_ultimate_custodian,cpty_account_number,cpty_beneficiary_bank,cpty_ultimate_custodian_code,cpty_ultimate_custodian,agreement,agreement_category,agreement_name,asset_class,asset_owner,asset_type,booking_type,business_line,ccp,cqs,collateral_status,counterparty,counterparty_lei,counterpartycode,counterpartywithcpcode,cpty_petrid,cpty_jurisdiction,cpty_cif_number,cpty_internal_flag,cpty_internal_rating,cpty_bloomberg_ticker,cpty_bloomberg_company_id,im_rehypothecation_rights,instrument_id,issue_country_of_risk,issuer_code,issuer_long_name,issuer_rating,linkage_set,market,model,pd,position,prc_petrid,prc_jurisdiction,prc_cif_number,prc_internal_flag,prc_bloomberg_ticker,prc_bloomberg_company_id,price_factor,price_source,principal,principal_lei,principalcode,rehypothecated,rehypothecation_rights,rescued_data,reporting_date,usd_to_cad_rate
US ISSUER,US Treasury 1.38,2039-12-06,,MOODYS LT:A3 SP LT:AA-,89.58,,,96.72,2026-06-17,,600000.0,USD,578565.84,594000.0,0.01,,USD,600000.0,594000.0,,2230,,,,,,TDBK,,,,,,STATE STREET,0.9,VM,,,,CAD,810000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_GENERAL_CSA,,TDBK_WH17_GENERAL_CSA,Sovereign,,US Treasury,VM,OTC,,,In Transit,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,USBCQE5ALEG2,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Government ISSUER,Government of Canada Bond 3.36,2028-08-21,,MOODYS LT:A3 SP LT:AA-,91.29,,,99.46,2026-07-01,,200000.0,CAD,206097.95,197000.0,0.015,,USD,200000.0,197000.0,,0908,,,,,,TDBK,,,,,,BNY MELLON,0.71,VM,,,,CAD,270000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_VM_CSA,,TDBK_CITI_REG_VM_CSA,Sovereign,,Government of Canada Bond,IM,OTC,,,In Transit,CITIBANK NA,,CITI,,600108,,,,,,,,USNP4HFRFLPA,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
US ISSUER,US Common Stock 1.25,2040-03-12,,MOODYS LT:A3 SP LT:AA-,94.96,,,100.67,2026-06-17,,4600000.0,USD,4196869.57,3910000.0,0.15,,USD,4600000.0,3910000.0,,0659,,,,,,TDBK,,,,,,STATE STREET,0.85,Not-Net,,,,CAD,6210000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_REG_VM_CSA,,TDBK_DBFR_REG_VM_CSA,Corporate,,US Common Stock,VM,OTC,,,In Transit,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,DEHJNP9LN4QQ,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
CAD ISSUER,CAD CASH 5.66,2045-05-03,,MOODYS LT:A3 SP LT:AA-,89.48,,,91.49,2026-06-10,,100000.0,CAD,91804.53,100000.0,0.0,,USD,100000.0,100000.0,,K7981,,,,,,TDBK,,,,,,STATE STREET,1.4,Not-Net,,,,CAD,135000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_REG_IMC_CSA,,TDBK_BNSC_REG_IMC_CSA,Cash,,CAD CASH,VM,OTC,,,Pending,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,USDBNC7DMJD8,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-10,1.36
German ISSUER,German Government Note 7.24,2030-07-19,,MOODYS LT:A3 SP LT:AA-,88.85,,,100.16,2026-07-01,,500000.0,EUR,505743.82,480000.0,0.04,,USD,500000.0,480000.0,,9235,,,,,,TDBK,,,,,,BNY MELLON,0.79,VM,,,,CAD,675000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_GENERAL_CSA,,TDBK_SWCD_GENERAL_CSA,Sovereign,,German Government Note,IM,OTC,,,Settled,SWISS LIFE AG,,SWCD,,600105,,,,,,,,DEA6J89L2MBP,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
Israel ISSUER,Israel Government Bond 8.81,2035-07-27,,MOODYS LT:A3 SP LT:AA-,96.76,,,89.94,2026-06-17,,4100000.0,ILS,4051062.77,3854000.0,0.06,,USD,4100000.0,3854000.0,,A8694,,,,,,TDBK,,,,,,STATE STREET,0.98,VM,,,,CAD,5535000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_REG_IMC_CSA,,TDBK_WH17_REG_IMC_CSA,Sovereign,,Israel Government Bond,VM,OTC,,,Pending,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,USQMBJ0QN2GL,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
US ISSUER,US Common Stock 4.86,2030-12-16,,MOODYS LT:A3 SP LT:AA-,91.77,,,93.54,2026-06-24,,500000.0,USD,465962.55,425000.0,0.15,,USD,500000.0,425000.0,,1784,,,,,,TDBK,,,,,,STATE STREET,0.93,Not-Net,,,,CAD,675000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_GENERAL_CSA,,TDBK_SWCD_GENERAL_CSA,Corporate,,US Common Stock,VM,OTC,,,In Transit,SWISS LIFE AG,,SWCD,,600105,,,,,,,,USBF9LG52H7B,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
Government ISSUER,Government of Canada Bond 4.86,2040-05-10,,MOODYS LT:A3 SP LT:AA-,98.76,,,95.07,2026-06-24,,1200000.0,CAD,1183857.22,1182000.0,0.015,,USD,1200000.0,1182000.0,,0327,,,,,,TDBK,,,,,,BNY MELLON,0.76,Not-Net,,,,CAD,1620000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_GENERAL_CSA,,TDBK_MSIL_GENERAL_CSA,Sovereign,,Government of Canada Bond,VM,OTC,,,In Transit,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,USA7GLM4KQ0L,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
US ISSUER,US Treasury 7.05,2028-07-12,,MOODYS LT:A3 SP LT:AA-,96.31,,,92.65,2026-07-01,,1800000.0,USD,1641021.2,1782000.0,0.01,,USD,1800000.0,1782000.0,,A5538,,,,,,TDBK,,,,,,BNY MELLON,1.09,Not-Net,,,,CAD,2430000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_REG_VM_CSA,,TDBK_DBFR_REG_VM_CSA,Sovereign,,US Treasury,IM,OTC,,,In Transit,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,DE31CB107EHD,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
German ISSUER,German Government Note 3.96,2036-02-05,,MOODYS LT:A3 SP LT:AA-,94.86,,,98.41,2026-06-24,,3200000.0,EUR,2895851.17,3072000.0,0.04,,USD,3200000.0,3072000.0,,0689,,,,,,TDBK,,,,,,STATE STREET,0.82,VM,,,,CAD,4320000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Sovereign,,German Government Note,VM,OTC,,,In Transit,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,US0P65RC9B75,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
German ISSUER,German Government Note 3.56,2028-09-10,,MOODYS LT:A3 SP LT:AA-,100.66,,,95.79,2026-07-01,,3300000.0,EUR,2973685.32,3168000.0,0.04,,USD,3300000.0,3168000.0,,0995,,,,,,TDBK,,,,,,,1.29,VM,,,,CAD,4455000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_GENERAL_CSA,,TDBK_DBFR_GENERAL_CSA,Sovereign,,German Government Note,VM,OTC,,,Pending,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,USRH2MC32DQA,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
US ISSUER,US Common Stock 1.81,2035-06-18,,MOODYS LT:A3 SP LT:AA-,93.63,,,90.65,2026-07-01,,700000.0,USD,688196.22,595000.0,0.15,,USD,700000.0,595000.0,,K7212,,,,,,TDBK,,,,,,STATE STREET,1.26,IM,,,,CAD,945000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_GENERAL_CSA,,TDBK_DBFR_GENERAL_CSA,Corporate,,US Common Stock,IM,OTC,,,Settled,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,DEHQEMR8CMEP,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
German ISSUER,German Government Note 2.84,2045-09-03,,MOODYS LT:A3 SP LT:AA-,95.49,,,92.3,2026-06-17,,4800000.0,EUR,4676445.55,4608000.0,0.04,,USD,4800000.0,4608000.0,,0855,,,,,,TDBK,,,,,,,1.36,IM,,,,CAD,6480000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_REG_VM_CSA,,TDBK_BNSC_REG_VM_CSA,Sovereign,,German Government Note,VM,OTC,,,Settled,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,US6CQENGR9BP,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
German ISSUER,German Government Note 1.75,2039-01-26,,MOODYS LT:A3 SP LT:AA-,91.8,,,99.5,2026-07-01,,1100000.0,EUR,1143549.52,1056000.0,0.04,,USD,1100000.0,1056000.0,,K8366,,,,,,TDBK,,,,,,STATE STREET,1.0,Not-Net,,,,CAD,1485000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_VM_CSA,,TDBK_BANH_REG_VM_CSA,Sovereign,,German Government Note,IM,OTC,,,Pending,BANCO HABITAT,,BANH,,600103,,,,,,,,ILK5825RL0EA,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
Ontario ISSUER,Ontario Provincial Bond 4.29,2030-04-11,,MOODYS LT:A3 SP LT:AA-,98.31,,,91.17,2026-06-10,,1200000.0,CAD,1242808.89,1152000.0,0.04,,USD,1200000.0,1152000.0,,7645,,,,,,TDBK,,,,,,STATE STREET,1.21,IM,,,,CAD,1620000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BIMC_GENERAL_CSA,,TDBK_BIMC_GENERAL_CSA,Provincial,,Ontario Provincial Bond,IM,OTC,,,Pending,BIMCOR INC,,BIMC,,600110,,,,,,,,US3KNB5LJGBR,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
CAD ISSUER,CAD CASH 3.21,2030-05-20,,MOODYS LT:A3 SP LT:AA-,99.31,,,96.4,2026-06-24,,1500000.0,CAD,1440384.63,1500000.0,0.0,,USD,1500000.0,1500000.0,,A801,,,,,,TDBK,,,,,,STATE STREET,1.36,Not-Net,,,,CAD,2025000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_IMC_CSA,,TDBK_CITI_REG_IMC_CSA,Cash,,CAD CASH,VM,OTC,,,Settled,CITIBANK NA,,CITI,,600108,,,,,,,,ILGDJ5ENG9FL,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
CAD ISSUER,CAD CASH 6.99,2042-06-03,,MOODYS LT:A3 SP LT:AA-,89.65,,,89.85,2026-06-24,,1100000.0,CAD,1033509.35,1100000.0,0.0,,USD,1100000.0,1100000.0,,5921,,,,,,TDBK,,,,,,BNY MELLON,1.02,VM,,,,CAD,1485000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_GENERAL_CSA,,TDBK_BANH_GENERAL_CSA,Cash,,CAD CASH,VM,OTC,,,In Transit,BANCO HABITAT,,BANH,,600103,,,,,,,,ILEQ465FAPKL,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
Israel ISSUER,Israel Government Bond 2.73,2037-08-23,,MOODYS LT:A3 SP LT:AA-,91.13,,,91.64,2026-06-24,,2900000.0,ILS,2772333.53,2726000.0,0.06,,USD,2900000.0,2726000.0,,A7293,,,,,,TDBK,,,,,,STATE STREET,1.04,Not-Net,,,,CAD,3915000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_GENERAL_CSA,,TDBK_WH17_GENERAL_CSA,Sovereign,,Israel Government Bond,IM,OTC,,,In Transit,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,DEBLB9K09J8M,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
US ISSUER,US Corporate 9.90,2040-05-08,,MOODYS LT:A3 SP LT:AA-,93.82,,,97.88,2026-06-03,,4500000.0,USD,4239330.55,4140000.0,0.08,,USD,4500000.0,4140000.0,,0466,,,,,,TDBK,,,,,,STATE STREET,1.04,VM,,,,CAD,6075000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_REG_IMC_CSA,,TDBK_DBFR_REG_IMC_CSA,Corporate,,US Corporate,VM,OTC,,,In Transit,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,CANGLGKPPH4C,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
German ISSUER,German Government Note 1.21,2034-11-27,,MOODYS LT:A3 SP LT:AA-,89.58,,,95.46,2026-06-10,,800000.0,EUR,774819.12,768000.0,0.04,,USD,800000.0,768000.0,,0746,,,,,,TDBK,,,,,,STATE STREET,0.82,VM,,,,CAD,1080000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_REG_VM_CSA,,TDBK_BNSC_REG_VM_CSA,Sovereign,,German Government Note,IM,OTC,,,Settled,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,USQ5PFAPQ0HL,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
CAD ISSUER,CAD CASH 1.31,2038-09-09,,MOODYS LT:A3 SP LT:AA-,90.67,,,91.88,2026-06-10,,4600000.0,CAD,4407967.92,4600000.0,0.0,,USD,4600000.0,4600000.0,,3407,,,,,,TDBK,,,,,,BNY MELLON,1.22,IM,,,,CAD,6210000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_VM_CSA,,TDBK_CITI_REG_VM_CSA,Cash,,CAD CASH,VM,OTC,,,Settled,CITIBANK NA,,CITI,,600108,,,,,,,,ILFGH6JNNKGD,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-10,1.36
Israel ISSUER,Israel Government Bond 4.00,2042-02-03,,MOODYS LT:A3 SP LT:AA-,100.96,,,91.99,2026-07-01,,200000.0,ILS,194358.71,188000.0,0.06,,USD,200000.0,188000.0,,0510,,,,,,TDBK,,,,,,BNY MELLON,0.81,VM,,,,CAD,270000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_GENERAL_CSA,,TDBK_BANH_GENERAL_CSA,Sovereign,,Israel Government Bond,IM,OTC,,,Settled,BANCO HABITAT,,BANH,,600103,,,,,,,,CANL686N0HQ8,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
Canada ISSUER,Canada Mortgage Bonds 2.01,2035-08-14,,MOODYS LT:A3 SP LT:AA-,95.39,,,88.75,2026-06-17,,2800000.0,CAD,2683024.49,2744000.0,0.02,,USD,2800000.0,2744000.0,,8370,,,,,,TDBK,,,,,,STATE STREET,1.06,VM,,,,CAD,3780000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_GENERAL_CSA,,TDBK_MSIL_GENERAL_CSA,Sovereign,,Canada Mortgage Bonds,IM,OTC,,,Pending,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,IL5MHR1MRFLN,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-17,1.36
CAD ISSUER,CAD CASH 9.37,2033-09-26,,MOODYS LT:A3 SP LT:AA-,97.58,,,92.96,2026-06-24,,3800000.0,CAD,3967191.22,3800000.0,0.0,,USD,3800000.0,3800000.0,,5999,,,,,,TDBK,,,,,,BNY MELLON,1.11,IM,,,,CAD,5130000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_IMC_CSA,,TDBK_BANH_REG_IMC_CSA,Cash,,CAD CASH,VM,OTC,,,In Transit,BANCO HABITAT,,BANH,,600103,,,,,,,,CAE5PHE507AB,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
US ISSUER,US Common Stock 8.56,2034-03-20,,MOODYS LT:A3 SP LT:AA-,91.33,,,90.77,2026-06-24,,2800000.0,USD,2523407.89,2380000.0,0.15,,USD,2800000.0,2380000.0,,9325,,,,,,TDBK,,,,,,BNY MELLON,1.06,VM,,,,CAD,3780000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_REG_VM_CSA,,TDBK_BNSC_REG_VM_CSA,Corporate,,US Common Stock,VM,OTC,,,Settled,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,CA4QARPK768N,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
Israel ISSUER,Israel Government Bond 1.99,2029-12-24,,MOODYS LT:A3 SP LT:AA-,96.5,,,97.85,2026-06-03,,900000.0,ILS,898350.67,846000.0,0.06,,USD,900000.0,846000.0,,1590,,,,,,TDBK,,,,,,STATE STREET,1.39,VM,,,,CAD,1215000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_GENERAL_CSA,,TDBK_CITI_GENERAL_CSA,Sovereign,,Israel Government Bond,VM,OTC,,,Pending,CITIBANK NA,,CITI,,600108,,,,,,,,DE8934JC39QR,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
Israel ISSUER,Israel Government Bond 4.96,2035-04-15,,MOODYS LT:A3 SP LT:AA-,95.67,,,101.3,2026-06-17,,1900000.0,ILS,1841474.39,1786000.0,0.06,,USD,1900000.0,1786000.0,,5711,,,,,,TDBK,,,,,,BNY MELLON,1.28,Not-Net,,,,CAD,2565000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_IMC_CSA,,TDBK_CITI_REG_IMC_CSA,Sovereign,,Israel Government Bond,IM,OTC,,,Pending,CITIBANK NA,,CITI,,600108,,,,,,,,ILLC5C15NBKE,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Canada ISSUER,Canada Mortgage Bonds 6.23,2039-11-06,,MOODYS LT:A3 SP LT:AA-,98.49,,,96.36,2026-06-24,,4700000.0,CAD,4677061.03,4606000.0,0.02,,USD,4700000.0,4606000.0,,0426,,,,,,TDBK,,,,,,STATE STREET,1.29,Not-Net,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_IMC_CSA,,TDBK_SWCD_REG_IMC_CSA,Sovereign,,Canada Mortgage Bonds,VM,OTC,,,In Transit,SWISS LIFE AG,,SWCD,,600105,,,,,,,,CA16JA30PQBK,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
US ISSUER,US Treasury 5.38,2028-04-04,,MOODYS LT:A3 SP LT:AA-,89.84,,,97.22,2026-06-10,,1100000.0,USD,1050087.14,1089000.0,0.01,,USD,1100000.0,1089000.0,,2126,,,,,,TDBK,,,,,,,1.21,Not-Net,,,,CAD,1485000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_GENERAL_CSA,,TDBK_BANH_GENERAL_CSA,Sovereign,,US Treasury,VM,OTC,,,Settled,BANCO HABITAT,,BANH,,600103,,,,,,,,IL6KD2217ARP,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-10,1.36
Israel ISSUER,Israel Government Bond 4.51,2042-12-12,,MOODYS LT:A3 SP LT:AA-,88.24,,,100.56,2026-06-17,,600000.0,ILS,608520.09,564000.0,0.06,,USD,600000.0,564000.0,,1791,,,,,,TDBK,,,,,,STATE STREET,0.92,Not-Net,,,,CAD,810000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Sovereign,,Israel Government Bond,IM,OTC,,,Settled,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,DEN5FPEE1MNQ,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Government ISSUER,Government of Canada Bond 4.84,2043-02-02,,MOODYS LT:A3 SP LT:AA-,91.36,,,101.27,2026-06-10,,300000.0,CAD,313111.57,295500.0,0.015,,USD,300000.0,295500.0,,0991,,,,,,TDBK,,,,,,STATE STREET,0.92,IM,,,,CAD,405000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Sovereign,,Government of Canada Bond,VM,OTC,,,Settled,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,DE9B8904AH03,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-10,1.36
Government ISSUER,Government of Canada Bond 9.07,2042-08-13,,MOODYS LT:A3 SP LT:AA-,89.73,,,100.62,2026-06-24,,1600000.0,CAD,1588906.56,1576000.0,0.015,,USD,1600000.0,1576000.0,,7686,,,,,,TDBK,,,,,,BNY MELLON,1.08,VM,,,,CAD,2160000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_REG_VM_CSA,,TDBK_MSIL_REG_VM_CSA,Sovereign,,Government of Canada Bond,IM,OTC,,,In Transit,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,DE0J6Q4KJ9A6,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-24,1.36
US ISSUER,US Corporate 1.88,2030-09-03,,MOODYS LT:A3 SP LT:AA-,88.14,,,99.22,2026-07-01,,4300000.0,USD,3967705.0,3956000.0,0.08,,USD,4300000.0,3956000.0,,0408,,,,,,TDBK,,,,,,STATE STREET,0.91,Not-Net,,,,CAD,5805000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_REG_IMC_CSA,,TDBK_WH17_REG_IMC_CSA,Corporate,,US Corporate,IM,OTC,,,Settled,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,ILJBA8M778PG,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
German ISSUER,German Government Note 3.18,2039-09-06,,MOODYS LT:A3 SP LT:AA-,88.79,,,94.48,2026-07-01,,4700000.0,EUR,4625553.03,4512000.0,0.04,,USD,4700000.0,4512000.0,,4894,,,,,,TDBK,,,,,,STATE STREET,0.96,IM,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_WH17_REG_IMC_CSA,,TDBK_WH17_REG_IMC_CSA,Sovereign,,German Government Note,VM,OTC,,,Settled,WELLINGTON GLOBAL EQUITY FUND 28R5,,WH17,,600104,,,,,,,,DEGGD2AE73MH,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
Israel ISSUER,Israel Government Bond 2.17,2036-05-22,,MOODYS LT:A3 SP LT:AA-,98.14,,,97.15,2026-06-10,,300000.0,ILS,300161.85,282000.0,0.06,,USD,300000.0,282000.0,,7265,,,,,,TDBK,,,,,,BNY MELLON,1.2,IM,,,,CAD,405000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_VM_CSA,,TDBK_SWCD_REG_VM_CSA,Sovereign,,Israel Government Bond,VM,OTC,,,Settled,SWISS LIFE AG,,SWCD,,600105,,,,,,,,US4H943M4JEF,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-10,1.36
US ISSUER,US Corporate 1.03,2044-03-24,,MOODYS LT:A3 SP LT:AA-,94.49,,,95.39,2026-06-03,,4700000.0,USD,4760110.54,4324000.0,0.08,,USD,4700000.0,4324000.0,,0503,,,,,,TDBK,,,,,,BNY MELLON,1.38,Not-Net,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_REG_IMC_CSA,,TDBK_DBFR_REG_IMC_CSA,Corporate,,US Corporate,IM,OTC,,,In Transit,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,USLPFPKCEPAK,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
Government ISSUER,Government of Canada Bond 7.42,2028-12-09,,MOODYS LT:A3 SP LT:AA-,91.79,,,98.88,2026-06-17,,3100000.0,CAD,3039411.25,3053500.0,0.015,,USD,3100000.0,3053500.0,,1118,,,,,,TDBK,,,,,,BNY MELLON,0.91,VM,,,,CAD,4185000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_IMC_CSA,,TDBK_BANH_REG_IMC_CSA,Sovereign,,Government of Canada Bond,IM,OTC,,,Settled,BANCO HABITAT,,BANH,,600103,,,,,,,,CAKDK2E5PAJ3,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
Government ISSUER,Government of Canada Bond 6.33,2031-08-04,,MOODYS LT:A3 SP LT:AA-,100.06,,,98.91,2026-07-01,,3100000.0,CAD,2957593.16,3053500.0,0.015,,USD,3100000.0,3053500.0,,1987,,,,,,TDBK,,,,,,,0.93,VM,,,,CAD,4185000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BNSC_GENERAL_CSA,,TDBK_BNSC_GENERAL_CSA,Sovereign,,Government of Canada Bond,IM,OTC,,,Pending,BANK OF NOVA SCOTIA,,BNSC,,600106,,,,,,,,CAML0GLA4A1L,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-07-01,1.36
