trade_id,counterparty_name_raw,counterparty_lei,product,notional,true_cp_code
6000371,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,58000000,BNSC
6000372,DEUTSCHE,,Repo,173000000,DBFR
6000373,Citibank NA,E57ODZWZ7FF32TWEFA76,IR Swap,114000000,CITI
6000374,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,CDS,125000000,INBL
6000375,Deutsche Bank,7LTWFZYICNSX8D621K86,FX Option,70000000,DBFR
6000376,First Republic,7H6GLXDRUGQFU57RNE97,Repo,71000000,JPMC
6000377,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,IR Swap,94000000,BNSC
6000378,JP MORGAN,7H6GLXDRUGQFU57RNE97,IR Swap,17000000,JPMC
6000379,Central 1,,FX Option,47000000,BCCU
6000380,Scotiabank,L3I9ZG2KFGXZ61BMYR72,IR Swap,105000000,BNSC
6000381,Deutsche Bank,7LTWFZYICNSX8D621K86,Repo,143000000,DBFR
6000382,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,CDS,71000000,BCCU
6000383,Investec Bank Limted,,Repo,147000000,INBL
6000384,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,FX Option,44000000,MSIL
6000385,FIRST REPUBLIC BANK,,CDS,92000000,JPMC
6000386,CENTRAL 1 CU,549300XXHOD8SXSZKY72,Repo,3000000,BCCU
6000387,INVESTEC BANK LIMITED,,FX Option,197000000,INBL
6000388,JP MORGAN,,Repo,103000000,JPMC
6000389,BNS,,FX Option,124000000,BNSC
6000390,DEUTSCHE,7LTWFZYICNSX8D621K86,FX Option,3000000,DBFR
6000391,First Republic,7H6GLXDRUGQFU57RNE97,Repo,186000000,JPMC
6000392,BNS,,CDS,161000000,BNSC
6000393,CITI,E57ODZWZ7FF32TWEFA76,CDS,18000000,CITI
6000394,CITI,E57ODZWZ7FF32TWEFA76,CDS,86000000,CITI
6000395,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,191000000,INBL
6000396,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,46000000,INBL
6000397,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,CDS,90000000,BNSC
6000398,Investec Bank Limted,549300RH5FFHO48FXT69,Repo,129000000,INBL
6000399,Central 1,549300XXHOD8SXSZKY72,IR Swap,6000000,BCCU
